City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
34,Ribeira Grande,PT,38.52,-28.7,68.0,88,40,11.41,scattered clouds,0.0,0.0
35,Grindavik,IS,63.84,-22.43,60.8,59,99,20.8,overcast clouds,0.0,0.0
36,Jamestown,US,42.1,-79.24,84.2,45,1,3.36,clear sky,0.0,0.0
37,Busselton,AU,-33.65,115.33,57.99,48,0,17.87,clear sky,0.0,0.0
38,Ilulissat,GL,69.22,-51.1,48.2,57,40,5.82,scattered clouds,0.0,0.0
39,Bambous Virieux,MU,-20.34,57.76,72.0,78,40,14.99,scattered clouds,0.0,0.0
40,Saint George,US,37.1,-113.58,100.99,11,1,5.82,clear sky,0.0,0.0
41,Longyearbyen,SJ,78.22,15.64,42.8,70,40,2.24,scattered clouds,0.0,0.0
42,Mataura,NZ,-46.19,168.86,31.98,95,0,1.63,clear sky,0.0,0.0
43,Hermanus,ZA,-34.42,19.23,55.0,92,74,1.99,broken clouds,0.0,0.0
44,Inirida,CO,3.87,-67.92,82.9,85,97,2.17,light rain,0.97,0.0
45,Bahia De Caraquez,EC,-0.6,-80.42,80.6,78,40,12.75,scattered clouds,0.0,0.0
46,Okhotsk,RU,59.38,143.3,48.79,81,100,4.12,overcast clouds,0.0,0.0
47,Champerico,GT,14.3,-91.92,86.56,70,1,9.66,clear sky,0.0,0.0
48,Butaritari,KI,3.07,172.79,83.48,79,26,16.37,scattered clouds,0.0,0.0
49,Clyde River,CA,70.47,-68.59,44.6,81,1,5.82,clear sky,0.0,0.0
50,Medina Del Campo,ES,41.31,-4.91,78.01,40,0,5.82,clear sky,0.0,0.0
51,Iwanai,JP,42.97,140.51,56.66,74,100,6.67,overcast clouds,0.0,0.0
52,Bluff,NZ,-46.6,168.33,38.59,82,0,4.83,clear sky,0.0,0.0
53,Griffith,US,41.53,-87.42,81.0,69,40,13.87,thunderstorm,0.0,0.0
54,Cabo San Lucas,MX,22.89,-109.91,88.0,45,5,11.41,clear sky,0.0,0.0
55,Tasiilaq,GL,65.61,-37.64,50.0,71,100,2.24,overcast clouds,0.0,0.0
56,Banda Aceh,ID,5.56,95.32,76.68,91,100,13.31,moderate rain,3.89,0.0
57,Broome,US,42.25,-75.83,84.0,57,20,6.93,few clouds,0.0,0.0
58,Union,US,40.63,-74.27,88.0,54,1,10.29,clear sky,0.0,0.0
59,Inuvik,CA,68.35,-133.72,51.8,71,75,5.82,broken clouds,0.0,0.0
60,Port Macquarie,AU,-31.43,152.92,41.0,98,1,6.49,clear sky,0.0,0.0
61,Touros,BR,-5.2,-35.46,80.6,74,40,9.17,scattered clouds,0.0,0.0
62,Watertown,US,42.37,-71.18,93.2,54,1,13.87,moderate rain,1.52,0.0
63,Hobyo,SO,5.35,48.53,79.95,72,77,27.98,broken clouds,0.0,0.0
64,Tuktoyaktuk,CA,69.45,-133.04,44.6,81,90,8.05,overcast clouds,0.0,0.0
65,Bredasdorp,ZA,-34.53,20.04,57.2,93,81,3.04,broken clouds,0.0,0.0
66,Thompson,CA,55.74,-97.86,57.2,87,90,10.29,overcast clouds,0.0,0.0
67,Puri,IN,19.8,85.85,82.4,88,40,4.7,mist,0.0,0.0
68,Santa Fe,AR,-31.63,-60.7,70.0,49,85,5.01,overcast clouds,0.0,0.0
69,Khasan,RU,42.43,130.64,61.2,96,100,2.28,moderate rain,1.51,0.0
70,Yellowknife,CA,62.46,-114.35,78.01,40,20,20.8,few clouds,0.0,0.0
71,Chabahar,IR,25.29,60.64,84.61,82,72,9.73,broken clouds,0.0,0.0
72,Belaya Gora,RU,68.53,146.42,82.35,24,0,1.23,clear sky,0.0,0.0
73,Punta Arenas,CL,-53.15,-70.92,39.2,86,75,8.05,broken clouds,0.0,0.0
74,Ayagoz,KZ,47.97,80.44,47.52,52,0,11.03,clear sky,0.0,0.0
75,Andenes,NO,69.31,16.12,53.6,71,1,4.7,clear sky,0.0,0.0
76,Kilindoni,TZ,-7.91,39.67,79.5,75,51,23.15,broken clouds,0.0,0.0
77,Rajauri,IN,33.38,74.3,80.08,34,14,6.24,few clouds,0.0,0.0
78,Kapaa,US,22.08,-159.32,82.4,65,20,12.75,few clouds,0.0,0.0
79,Toucheng,TW,24.86,121.82,84.2,74,40,3.36,scattered clouds,0.0,0.0
80,Mayo,US,38.89,-76.51,82.99,74,1,6.93,clear sky,0.0,0.0
81,Marawi,PH,8.0,124.29,75.99,91,3,4.0,clear sky,0.0,0.0
82,Lima,PE,-12.04,-77.03,66.2,68,75,9.17,broken clouds,0.0,0.0
83,East London,ZA,-33.02,27.91,64.27,62,0,14.16,clear sky,0.0,0.0
84,Arraial Do Cabo,BR,-22.97,-42.03,80.6,69,0,9.17,clear sky,0.0,0.0
85,Atambua,ID,-9.11,124.89,70.0,88,70,5.28,broken clouds,0.0,0.0
86,Aklavik,CA,68.22,-135.01,46.4,75,75,3.36,broken clouds,0.0,0.0
87,Coquimbo,CL,-29.95,-71.34,62.6,63,1,13.87,clear sky,0.0,0.0
88,Saint-Philippe,RE,-21.36,55.77,66.2,82,20,4.7,few clouds,0.0,0.0
89,Hofn,IS,64.25,-15.21,51.3,84,100,16.73,light rain,0.99,0.0
90,Davila,PH,18.47,120.58,81.88,75,100,5.08,overcast clouds,0.0,0.0
91,Itarema,BR,-2.92,-39.92,81.09,73,17,12.46,few clouds,0.0,0.0
92,Langsa,ID,4.47,97.97,74.57,94,100,2.1,light rain,0.28,0.0
93,Ciudad Bolivar,VE,8.12,-63.55,91.15,47,90,12.24,overcast clouds,0.0,0.0
94,Yagodnoye,RU,62.55,149.67,68.02,39,2,1.7,clear sky,0.0,0.0
95,Homer,US,59.64,-151.55,57.2,58,75,3.36,broken clouds,0.0,0.0
96,Lodingen,NO,68.41,16.0,68.0,49,0,10.29,clear sky,0.0,0.0
97,Cambridge,CA,43.36,-80.31,88.0,45,1,12.75,clear sky,0.0,0.0
98,Padang,ID,-0.95,100.35,77.34,82,99,5.73,light rain,0.86,0.0
99,Marrakesh,MA,31.63,-8.01,86.0,37,20,11.41,few clouds,0.0,0.0
100,Koumac,NC,-20.57,164.28,68.86,71,70,4.61,broken clouds,0.0,0.0
101,Albury,AU,-36.08,146.92,43.0,100,75,0.72,broken clouds,0.0,0.0
102,Port Said,EG,31.26,32.28,77.61,76,0,21.59,clear sky,0.0,0.0
103,Amarpur,IN,25.03,86.9,83.25,78,23,8.16,few clouds,0.0,0.0
104,Miyazu,JP,35.53,135.18,63.18,90,92,4.63,overcast clouds,0.0,0.0
105,Los Banos,PH,14.17,121.18,81.0,83,20,3.36,few clouds,0.0,0.0
