City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
414,Zhaoyuan,CN,66.99,overcast clouds,37.36,120.4,Super 8 Hotel Yantai Zhaoyuan Bus Terminal Branch
416,Ochamchira,GE,67.41,broken clouds,42.71,41.47,Resort on Papaskiri 76
419,San Quintin,MX,70.2,clear sky,30.48,-115.95,Old Mill Hotel
427,Bukama,CD,66.79,clear sky,-9.2,25.85,
428,Oytal,KZ,68.11,clear sky,42.91,73.27,Sanatorium Ak-Niet
430,Namatanai,PG,79.74,few clouds,-3.67,152.43,Namatanai Hotel
447,Cairns,AU,66.2,scattered clouds,-16.92,145.77,Mantra Trilogy Cairns
449,Huangmei,CN,71.4,overcast clouds,30.19,116.03,Tianxiachan Hotel
452,Palermo,IT,66.0,overcast clouds,37.82,13.58,"Ponte Montagnola, Vicari"
454,Saint-Pierre,RE,66.2,few clouds,-21.34,55.48,Lindsey Hôtel
455,Batagay-Alyta,RU,76.95,broken clouds,67.8,130.41,
460,Isabela,PH,79.66,overcast clouds,6.71,121.97,Isawad Resort
461,Dalian,CN,69.8,few clouds,38.91,121.6,Kempinski Hotel Dalian
465,Uvinza,TZ,67.53,clear sky,-5.1,30.39,
466,Datong,CN,71.71,overcast clouds,40.09,113.29,Holiday Inn Datong City Centre
473,Tshikapa,CD,72.05,clear sky,-6.42,20.8,Hôtel Tshia-Muntu de Tshikapa
476,Corvallis,US,73.0,broken clouds,44.56,-123.26,Holiday Inn Express Corvallis-on the River
477,Anadyr,RU,69.01,scattered clouds,64.75,177.48,"Гостиница ""Анадырь"""
478,Vao,NC,69.26,scattered clouds,-22.67,167.48,Hotel Kou-Bugny
480,Hohhot,CN,69.8,light intensity shower rain,40.81,111.65,Sheraton Hohhot Hotel
482,Merrill,US,78.8,broken clouds,45.18,-89.68,Prairie Motel
486,Pombia,IT,78.01,clear sky,45.65,8.63,Albergo Fontana
495,Marsa Matruh,EG,73.35,clear sky,31.35,27.25,Beau Site
